player,rating,rd,sets,wins,losses,num_tourneys
ken,1715.77627939,203.119436903,3,2,1,1
pugs,1715.01522827,89.654145354,20,13,7,3
shears,1714.99629168,64.28895783,80,53,27,11
zero,1714.20407703,91.2657661385,27,17,10,4
near,1712.67877469,129.086714036,10,7,3,1
finio,1712.31023663,157.985111099,7,5,2,1
kyle tree,1704.83031062,96.0602793072,21,13,8,3
wookiee,1702.68186008,83.1472590586,33,22,11,5
kimimaru,1701.55689492,96.1821302099,24,16,8,3
facechew,1699.3193371,163.929403172,7,5,2,1
banze,1697.89151596,113.15642126,16,11,5,2
nintendude,1697.0615302,75.3043181301,42,26,16,6
robert,1696.61069545,96.7069798343,22,15,7,3
loto,1691.1432063,120.943918216,12,8,4,2
fumbles,1689.14414511,141.864387412,8,5,3,1
a$,1685.29805196,167.219016955,6,4,2,1
battlecow,1685.28578119,135.075273329,8,5,3,1
jason,1682.41186519,89.4124972813,28,19,9,4
shalaka,1681.55076807,117.895155487,16,10,6,3
star king,1681.00077028,154.03407511,7,4,3,1
spongy,1680.94464829,117.389718744,13,9,4,1
hipstur,1680.45574995,84.3047019617,35,24,11,6
smash jesus,1680.2424137,104.915108998,20,14,6,3
sheermadness,1679.41445743,125.541714185,11,7,4,2
nta,1679.30676957,155.110046041,7,4,3,1
box765,1679.1795837,138.406571396,9,6,3,1
inukem,1678.9936681,140.903167626,7,5,2,1
stonefallow,1677.89642688,139.735002016,11,7,4,2
tonester,1677.25429436,114.885954047,17,11,6,3
andykins,1676.6941115,133.039371736,8,5,3,1
amida,1674.81167695,102.817030888,20,13,7,3
poobearninja,1670.23087474,132.163000167,13,9,4,2
jay-r,1669.30795467,172.572251236,7,5,2,1
collin,1667.87445721,161.194832716,5,3,2,1
connor,1660.27083426,102.50951378,19,12,7,3
fishaman p,1659.73479227,109.818913299,15,9,6,2
nickelbackstreetboy,1659.61460322,156.353378117,6,4,2,1
ybombb,1654.44040011,127.368864291,14,9,5,2
jay_mute$,1653.80218203,112.256003264,14,9,5,2
automatic,1652.4898958,154.325164422,6,4,2,1
josephzander,1650.3417574,129.99963892,9,6,3,1
gildo,1649.69851447,108.349352761,18,12,6,2
yobolight,1647.16576172,106.957413268,19,12,7,3
lord narwhal,1647.0559715,96.1317526596,23,14,9,3
dajjal,1645.90005141,93.5534942799,24,15,9,3
the american patriot,1645.56483791,179.09196903,6,4,2,1
ctg,1645.49043738,85.2634244285,32,18,14,6
nattybroh,1644.0840776,118.863965034,13,9,4,1
logic,1643.16571597,132.670310186,11,7,4,2
v,1640.86359075,160.887844269,6,4,2,1
spark,1640.27872065,126.079125272,11,7,4,2
kraines,1638.60700335,198.796968875,4,3,1,1
the big d,1638.31033548,177.412261629,6,4,2,1
darkhorse,1638.01584872,81.4645165003,36,21,15,6
hotline,1637.32593147,168.338970284,6,4,2,1
kaz,1636.66758961,116.959604403,13,8,5,2
piratetrips,1634.35950755,114.089018157,12,8,4,1
eg,1633.63849244,92.2869997094,22,14,8,3
esid,1633.42250722,150.642670464,9,6,3,1
subtle,1630.87121898,118.449529749,15,8,7,3
dam_tewton,1630.34326787,190.574318007,4,2,2,1
freean,1628.48431496,93.7187486514,27,17,10,4
sextc,1627.57075506,152.351119842,8,5,3,1
mokkori,1626.6347393,182.632308241,6,4,2,1
sunnyb,1624.27956609,142.305908316,8,5,3,1
socrates,1622.5832294,181.776416093,5,3,2,1
butt solo,1620.65656896,167.210049103,6,3,3,1
b0n,1620.14786597,170.551328145,6,4,2,1
rossi,1617.706257,175.907808936,5,3,2,1
clubbadubba,1617.66899376,114.878317846,15,9,6,2
greginator,1614.68403137,179.78070529,5,3,2,1
b link,1614.27935923,150.565355727,7,4,3,1
bowl,1613.64150942,128.413789253,13,8,5,2
kyle,1613.16758913,181.601403272,5,3,2,1
letsgo,1612.73265973,126.598102075,12,6,6,2
snorlax,1612.09331573,106.461016573,20,12,8,3
preston,1611.66907255,97.3684133129,23,14,9,4
olbus,1610.87324496,157.973844521,6,4,2,1
saltsizzle,1610.1766032,97.7738536139,18,10,8,3
quickcav,1609.30298426,145.114210195,9,6,3,1
onski,1609.26093714,87.1278763866,31,18,13,5
1000,1609.18692098,189.221952712,5,3,2,1
jxc,1608.60034052,169.691405051,6,4,2,1
quitrage,1608.07675958,142.821687738,9,5,4,2
ivor,1608.0086602,172.978122015,5,3,2,1
a to tr3gthez,1607.87020724,95.7755881157,21,11,10,3
jimmy joe,1607.49481339,77.9817074864,37,21,16,6
monte,1607.34582104,147.817535783,7,4,3,1
komotonoto,1606.98718769,137.814833621,9,5,4,1
madrush21,1606.11901139,71.568942471,49,27,22,8
natendo,1605.96564751,170.389927779,6,4,2,1
sedda,1604.70331931,133.470812916,11,7,4,2
greeno,1604.16209655,101.112447604,21,13,8,3
masterhandjob,1603.81718482,94.058154825,26,15,11,4
dogg,1603.39563893,110.232015271,14,8,6,2
mr.sir,1603.09214532,76.4074734611,44,25,19,8
heny935,1602.62870545,164.965832939,6,4,2,1
duffman,1602.09904053,174.368180612,5,3,2,1
freddy cougar,1601.06859103,190.88727716,5,3,2,1
the dark gentleman,1600.60106475,158.550027958,7,4,3,1
d35,1600.27011626,81.3994779798,34,20,14,5
supa,1599.45661256,113.131708481,15,8,7,3
eggmode,1599.38448707,93.7537404377,25,14,11,4
shihman,1597.8005966,83.9846657964,34,21,13,5
umbra,1596.50943528,142.167931845,10,6,4,2
cody,1595.09525606,196.313755666,5,3,2,1
broly,1594.47703867,189.446959174,5,3,2,1
bard,1594.4472394,85.1054948962,30,18,12,6
xyk,1594.2372595,135.195533157,10,6,4,2
the protagonist,1593.37361577,105.218928819,19,10,9,3
sax,1592.72929707,144.181788786,8,5,3,1
tafokints,1591.8996249,216.923455552,3,2,1,1
a la carte,1591.82421397,151.583963389,9,5,4,2
tyhiggz,1591.52097998,89.3881046943,23,13,10,4
cyoonit,1591.38535166,147.661669726,7,4,3,1
mustard tiger,1591.05115801,143.7672627,10,6,4,2
kirbstomper,1590.72162031,142.005065816,9,5,4,2
dpb,1589.76072277,189.341002845,5,3,2,1
satan [turner],1588.9363881,157.007331524,7,4,3,1
chuck lubs,1588.83820748,188.109119643,5,3,2,1
studstill,1588.60372759,142.740548609,11,7,4,2
llcstoism,1587.79374197,84.6973332905,26,14,12,4
shanks,1586.11450375,133.707587118,12,7,5,2
limesoda,1586.10712094,108.651595014,16,9,7,3
gravyfingers,1583.62932869,149.028142044,7,4,3,1
my buddy mike,1583.46990319,205.575568275,4,2,2,1
scoback,1582.74465554,102.885200927,18,9,9,3
fudgeball,1581.43679151,159.69610115,5,3,2,1
señorhen10r,1580.93177383,120.362634925,12,7,5,2
iheartqueso,1579.65697717,151.470837839,9,5,4,2
mr. slimey,1579.58792934,198.084704323,4,2,2,1
superderekfan,1579.1251077,173.952647946,5,3,2,1
knitephox,1578.72752039,118.523241051,17,10,7,3
moogle,1578.69539633,187.339206223,5,3,2,1
smurf,1577.59327534,86.5574479586,34,20,14,6
zuko,1576.62989096,102.981810945,23,12,11,4
elated,1576.39357416,137.522564594,10,6,4,1
b.i.,1575.89269955,134.778325452,11,7,4,1
dogs_johnson,1575.5963214,101.73414924,20,11,9,4
bamster,1574.99338833,140.627102676,9,5,4,2
elel,1574.77251965,147.729597476,10,6,4,2
skyfire,1574.38440114,185.461136741,5,3,2,1
zyrg,1574.19886086,142.76010842,10,6,4,1
no~m,1574.01605654,187.67573768,5,3,2,1
blaise,1572.10991729,194.731533917,5,3,2,1
autobaun,1572.10991729,194.731533917,5,3,2,1
toronto joe,1572.10991729,194.731533917,5,3,2,1
sebula4,1572.10991729,193.998377059,5,3,2,1
kingkool,1572.10991729,194.731533917,5,3,2,1
vudujin,1572.10991729,194.731533917,5,3,2,1
dragoniota,1572.10991729,194.975306902,5,3,2,2
nattyb,1572.10991729,194.731533917,5,3,2,1
shyboy,1572.10991729,194.731533917,5,3,2,1
king lumsy,1572.10991729,194.487455384,5,3,2,1
ern,1572.10991729,194.731533917,5,3,2,1
xor,1572.10991729,194.731533917,5,3,2,1
tvdonk,1572.10991729,194.731533917,5,3,2,1
zergos,1572.10991729,194.291971789,5,3,2,1
sheick,1572.10991729,194.731533917,5,3,2,1
toro,1572.10991729,194.243070151,5,3,2,1
t0mmii,1572.10991729,194.731533917,5,3,2,1
p21/c,1569.89883062,112.597939768,18,10,8,3
gt,1568.64391487,77.7070830439,32,18,14,5
dubs,1567.77616588,138.301202694,12,7,5,2
g0d,1567.77369899,191.242573026,4,2,2,1
travkid,1567.62585661,222.054951051,2,1,1,1
daniel,1567.54093582,111.927040578,19,11,8,3
pathall,1567.28804249,196.014668548,4,2,2,1
touque,1567.26948004,178.17548071,5,3,2,1
rgood,1567.1892753,186.638960362,5,3,2,1
coin chaser,1566.80634848,186.350242136,5,3,2,1
dizzle,1566.5111977,145.675451584,9,5,4,2
handles,1563.59539527,115.333415071,15,9,6,2
dr. lampy,1563.41505141,187.265133794,5,3,2,1
nesskhalifa,1563.02871947,154.901183174,9,5,4,2
killahertz,1562.57993192,127.343789434,13,7,6,3
b33f,1561.8526044,100.563128085,19,11,8,3
fancy,1560.64369567,184.033511648,5,3,2,1
bread,1560.63417857,119.158873189,14,8,6,2
giraphe,1559.79773079,182.143871767,5,3,2,1
gaijilla,1559.32347324,206.208082329,4,2,2,1
starchild,1559.01149625,121.175846098,15,9,6,3
dr. grin,1558.86211508,159.543005307,8,4,4,2
tot,1558.4585112,130.321319326,13,7,6,2
rusty,1558.38848653,104.543794846,17,9,8,3
ditto,1557.82177907,211.22563739,4,2,2,1
wazzberry,1557.43947197,185.878530446,5,3,2,1
waxy:joe,1556.70848495,138.882843394,10,6,4,1
rith,1556.43598489,172.572251236,7,4,3,1
pete,1556.43598489,172.572251236,7,4,3,1
the yid,1556.41871417,210.70133079,4,2,2,1
annex,1556.13104393,102.252175274,21,12,9,3
notlightningrunner,1554.97095163,185.815794454,5,3,2,1
dfx,1554.41983221,109.958022008,18,10,8,4
stonehaus,1554.14116805,184.940058198,5,3,2,1
thrillhouse,1554.09654997,132.844327394,9,5,4,1
blondekid,1549.79108932,123.908430339,12,6,6,3
pewpewu,1548.49833418,145.775213515,9,5,4,2
commander,1547.41094978,183.057697586,5,3,2,1
pluto,1547.24087673,195.353113483,4,2,2,1
zbl_mystic,1546.34917274,171.445111113,5,3,2,1
vanillarin,1546.27234155,157.432017817,9,5,4,2
purtle,1545.93816807,163.816619695,6,3,3,1
yunque,1544.48950742,134.748914482,11,6,5,2
pochilin,1542.73675285,207.97236989,4,2,2,1
darkneon,1542.16369615,178.288144709,5,3,2,1
tbq,1541.98859366,150.02113251,9,5,4,1
taiko,1541.92633883,120.587897569,18,8,10,4
nasian,1539.55575999,184.041039731,4,2,2,1
dixoncider,1536.23823217,176.024794526,5,3,2,1
korobeniki,1536.11030849,122.980380315,15,7,8,3
boomalready1,1536.0757905,143.220961133,9,5,4,1
t brett,1535.42648184,152.228130157,9,5,4,2
tipc,1533.8689839,199.446215429,4,2,2,1
professor_wizard,1533.79993415,106.43462339,16,9,7,2
hydra,1533.5352319,148.49308943,7,4,3,1
cwic-beam,1533.38685949,158.732213776,8,4,4,2
supernuggit,1532.93181077,177.563004956,5,3,2,1
whitejesus,1532.64724957,116.946085917,14,6,8,2
fck vwls,1532.05485027,118.623270015,16,8,8,3
luka,1531.96766465,203.777271664,4,2,2,1
jamjar,1531.76244049,94.2034478364,24,13,11,5
th3kuzinator,1531.54067703,127.271892305,12,6,6,2
sandman,1529.6048996,180.091185696,5,3,2,1
vanddar,1527.06481915,198.350799936,4,2,2,1
dusttin,1526.89939761,110.094140464,18,9,9,4
justin,1525.61049628,175.559733095,5,3,2,1
pizza jokes,1524.47640843,157.454286468,6,3,3,1
shishkabobs5,1524.08105204,195.988774797,4,2,2,1
cmull,1523.51659797,139.051383132,8,4,4,1
bon,1523.48144033,115.20777099,15,7,8,3
captain fabulous,1523.2887156,113.922776269,16,8,8,3
kabal,1523.25241065,152.039399645,7,4,3,1
bunz,1522.5506471,202.443836219,4,2,2,1
box,1522.29340833,193.368273705,4,2,2,1
mr.watchandlearn,1522.24881677,202.032796488,4,2,2,1
grahamaglam,1519.38901056,111.057773707,14,6,8,3
horbie,1519.26175279,160.370712555,6,3,3,1
hypa,1518.78967376,191.501750335,4,2,2,1
fil,1518.31807327,182.98036334,6,3,3,2
velocity jones,1517.06302248,175.121285497,4,2,2,1
drewgong,1516.70068369,131.898916533,14,6,8,4
spaghetti,1514.3495117,181.226143417,5,2,3,1
greenblob,1513.90162142,172.67823171,5,3,2,1
daniels,1513.79712635,93.9919806321,27,13,14,6
jsmirk,1513.600926,108.741066349,17,8,9,3
cyan can,1513.30492218,200.669269037,4,2,2,1
kaladin,1511.42393302,193.388084977,4,2,2,1
kaddy,1511.07538074,239.35427267,2,1,1,1
synth,1511.02635095,174.840956504,4,2,2,1
shake,1510.85494991,199.463234004,4,2,2,1
stevie g$👌👌👌👌👌👌👌👌,1509.91324491,203.44472891,4,2,2,1
duncs,1509.03280316,103.547440809,21,11,10,4
captain l,1508.43278735,113.234003883,17,8,9,3
kd3,1507.78033368,200.754709426,4,2,2,1
pizza,1505.53419335,96.6492003446,26,13,13,6
dankpank,1504.55608511,106.321545414,17,8,9,3
barron,1503.73822577,203.464071992,4,2,2,1
sonicfuzz,1502.04869022,112.236632964,17,9,8,3
rocket,1501.75474647,119.739037181,11,5,6,2
reptar,1501.74737372,155.381923599,8,4,4,2
savior,1501.40438739,200.291170176,4,2,2,1
cuppajoe,1500.76115734,199.348330842,4,2,2,1
deathcpo,1500.65001257,103.667991011,18,9,9,3
purple fox,1500.22842496,187.162256305,4,2,2,1
weedwack,1500.0,209.663360564,4,2,2,1
beguiler,1500.0,209.118924928,4,2,2,1
rawdog,1500.0,181.79812984,6,3,3,1
moist,1500.0,209.436684378,4,2,2,1
ravioli,1500.0,209.20976259,4,2,2,1
h2o,1500.0,209.255166634,4,2,2,1
qtip,1500.0,253.907619787,2,1,1,1
snowstorm,1500.0,209.663360564,4,2,2,1
salt,1500.0,209.255166634,4,2,2,1
swiftbass,1500.0,209.663360564,4,2,2,1
pizzajokes,1500.0,209.663360564,4,2,2,1
qubit,1500.0,209.663360564,4,2,2,1
hamburglar,1500.0,208.982594402,4,2,2,1
leavescat,1500.0,163.108491562,8,4,4,1
klms,1500.0,209.663360564,4,2,2,1
mrpoo,1500.0,209.20976259,4,2,2,1
poptartplug,1500.0,208.982594402,4,2,2,1
mickeyrat,1500.0,253.345770413,2,1,1,1
imdabes,1500.0,209.663360564,4,2,2,1
tauvalian,1500.0,209.436684378,4,2,2,1
clefairy as mew,1500.0,208.982594402,4,2,2,1
jaquarium,1500.0,209.436684378,4,2,2,1
dwreck,1500.0,209.663360564,4,2,2,1
nuro,1500.0,181.79812984,6,3,3,1
dezno,1500.0,253.832778391,2,1,1,1
rythemretrn,1500.0,209.255166634,4,2,2,1
blueman,1500.0,209.255166634,4,2,2,1
kman,1500.0,209.118924928,4,2,2,1
mr. biz,1500.0,209.663360564,4,2,2,1
nich,1500.0,208.982594402,4,2,2,1
karlthemarx,1500.0,209.436684378,4,2,2,1
funkykong,1500.0,208.982594402,4,2,2,1
han,1500.0,209.663360564,4,2,2,1
hoofydough,1500.0,209.663360564,4,2,2,1
morino,1500.0,182.632308241,6,3,3,1
tetsu0,1500.0,209.663360564,4,2,2,1
steamfriedasian,1500.0,209.663360564,4,2,2,1
collin the conqueror,1500.0,209.663360564,4,2,2,1
wincancel,1500.0,209.255166634,4,2,2,1
the amazing busterino,1500.0,209.663360564,4,2,2,1
geekliftus,1500.0,209.663360564,4,2,2,1
adrian,1500.0,209.255166634,4,2,2,1
satch,1500.0,208.937131126,4,2,2,1
therapture_,1500.0,209.663360564,4,2,2,1
mahie,1500,350,0,0,0,1
ibc,1499.96787681,155.046307074,8,4,4,2
hariballz,1499.08576972,155.17416262,8,4,4,1
k-nut,1498.86896074,155.287566446,7,4,3,1
sunflower,1498.62230975,129.61373331,13,6,7,3
aces,1497.2960445,114.402145807,20,8,12,5
brny,1497.24662392,186.43463262,4,2,2,1
lookalike,1496.89817111,160.248349717,8,4,4,2
hoofy,1496.60226686,135.820971012,11,5,6,3
razz,1496.48306306,129.125422651,12,6,6,2
breakthrough,1496.11487725,199.998241092,4,2,2,1
rizner,1494.80547249,102.667743175,23,12,11,5
spamus,1494.5502653,190.654150254,4,2,2,1
tootmoses,1494.44057704,192.388746989,4,2,2,1
batterybird,1492.49363412,173.987721624,6,3,3,2
hunter,1491.98376257,199.804670623,4,2,2,1
paco,1491.71862066,103.620680212,18,9,9,3
weirdy man,1491.19257331,199.998699884,4,2,2,1
bflakes,1490.82744599,183.976132374,4,2,2,1
maze,1490.68448786,135.426196521,9,4,5,2
neth,1490.42168474,198.578310065,4,2,2,1
prism,1490.29062928,246.56903808,3,1,2,1
sinbad,1489.5488855,196.742984418,4,2,2,1
droc,1489.16263168,193.946849852,4,2,2,1
moosh_da_moosh,1488.31179879,195.742836765,4,2,2,1
sun vulcan,1488.07039441,145.971975611,8,4,4,1
bringdaruckus312,1487.86391711,191.068842887,4,2,2,1
hhhhhhhhhhhhhhh,1487.21641669,197.694068074,4,2,2,1
lldl,1486.95102744,203.711213547,4,2,2,1
reno,1486.0626876,188.23220811,4,2,2,1
spunker,1485.72078841,208.206185017,3,1,2,1
bre,1485.5000704,185.411672963,4,2,2,1
jungle,1484.85521545,194.248997391,4,2,2,1
ace,1484.72680142,179.05095847,4,2,2,1
meerkat,1482.94715377,101.958739533,19,9,10,3
reese,1482.62276963,193.7098164,4,2,2,1
bigbeaver,1482.09579352,87.4925515118,28,13,15,4
enneielle,1481.66779105,162.838230654,6,3,3,1
keagsbsmashin,1481.05883983,200.561061709,4,2,2,1
moonshoe,1480.84556304,128.675190019,12,6,6,3
t-beau,1478.18580619,205.770070357,4,2,2,1
mixxedvegetables,1477.70043163,198.940758483,4,2,2,1
j9d2,1477.6825336,179.468934729,4,2,2,1
marlwolfe,1477.25311504,170.694222831,6,3,3,1
leaf fc,1476.74744026,163.344112178,7,3,4,2
village mascot,1476.50001943,107.083011307,20,9,11,4
engdrew,1474.81715665,193.247040533,4,2,2,1
kelvinheit,1473.73069139,134.45482894,9,4,5,1
david barker,1471.47053851,213.985600901,3,1,2,1
ngwn,1471.34896512,234.192995806,3,1,2,1
eggmcmuffin888,1470.84451378,155.192769966,8,4,4,2
fanboy,1470.15233621,233.417074169,3,1,2,1
capos,1470.00928181,96.799486867,20,10,10,4
nathansandwich,1469.92038107,174.768616039,7,3,4,2
aisengobay,1469.75446919,185.322408909,4,2,2,1
q!,1469.53673229,94.8740663277,24,11,13,5
jazzy jinx,1467.50984052,189.244664528,4,2,2,1
billbacon420,1465.057046,230.973921286,3,1,2,1
cortese187,1464.75028036,199.150431212,4,2,2,1
blue bear,1464.72165935,208.777043037,4,2,2,1
scratch,1463.79894003,120.315354437,13,5,8,2
hotsauce,1463.79509766,230.652298424,3,1,2,1
fingerblast,1463.52090056,178.378023766,6,3,3,1
derstuk,1463.27293444,155.054957208,10,4,6,3
miniohh!,1462.89072694,188.363154846,4,2,2,1
wowzers,1461.93427962,200.235602328,4,2,2,1
beans,1461.75773074,108.395638805,16,7,9,2
dankey kang,1460.52752793,216.630734973,3,1,2,1
butcher of bakersfield,1460.51268304,146.435433235,9,4,5,1
muse,1460.47186699,196.593496769,4,2,2,1
mistertizye,1460.46033204,204.332237494,3,1,2,1
rebel scum,1458.48159606,133.72797696,9,4,5,1
sebastian,1458.09512991,227.694089066,3,1,2,1
stark,1458.0012749,188.447766856,4,2,2,1
duff man,1457.51466121,177.970154666,5,2,3,1
frogman [charette],1457.44249243,227.35268284,3,1,2,1
cagt,1457.30794928,126.413783666,13,6,7,3
yrn,1456.14938741,156.829552359,7,3,4,2
goosewithsocks,1456.04823675,153.535787609,6,2,4,1
probers,1456.00741221,193.318266519,4,2,2,1
nuggzy,1455.96356686,200.194329709,4,2,2,1
kevine,1455.8718908,225.767680405,3,1,2,1
the (.)(.),1454.09982457,164.338416454,6,3,3,1
luigikid,1453.80517905,188.925641778,4,2,2,1
kristoff,1452.93249853,121.949340976,14,6,8,3
nalgas,1452.77893905,163.830019431,6,3,3,1
ringedge,1452.56590536,194.377435482,4,2,2,1
prime,1451.90325159,120.322816844,19,7,12,4
brown_omega253,1450.81248061,222.091127882,3,1,2,1
dankestdad,1450.24314403,152.49355913,8,4,4,2
dance!!,1450.17230155,193.724834377,4,2,2,1
bhol,1448.65323032,147.077343664,7,3,4,1
smashg0d,1448.52473071,214.486306613,3,1,2,1
jinjo,1447.54287148,206.797291997,3,1,2,1
jlo,1446.52789991,166.799794127,6,3,3,1
slartibartfast42,1443.76588304,174.009692207,7,3,4,2
yass2queen,1443.71658896,220.681219258,3,1,2,1
masquerade,1443.70641538,221.286939103,3,1,2,1
lalo,1443.56401511,171.689201456,7,3,4,1
bodacious,1443.48097723,172.697139402,7,3,4,2
frostbyte,1442.5048209,162.070868041,7,3,4,2
qapples,1441.78657306,220.509259914,3,1,2,1
crazyk115,1441.6130996,182.506933041,5,2,3,1
meatbeef,1441.55120006,219.254302681,3,1,2,1
antwon420,1441.17487538,217.96313939,3,1,2,1
thissidedown,1441.07322392,222.414701537,3,1,2,1
z-rex,1441.07322392,222.201033886,3,1,2,1
v-bomber,1440.29099204,160.178951214,7,3,4,2
ham,1440.16527338,147.908898504,12,4,8,4
chicken,1440.14784765,119.242753898,14,6,8,2
howdy,1440.00693734,179.670236433,6,2,4,2
tank,1439.54401546,173.72563777,5,2,3,1
zhu,1439.25187479,206.113279653,3,1,2,1
static,1437.93904076,197.162918477,4,2,2,1
mando,1437.60775005,138.537870502,10,4,6,2
gaggleforce,1437.38798073,203.760316714,3,1,2,1
ego,1436.18492272,218.578503916,3,1,2,1
izoo,1436.05159325,219.143634916,3,1,2,1
arctic,1435.49649116,218.617291277,3,1,2,1
pika,1435.30651143,221.050278443,3,1,2,1
midgetto,1434.60852101,162.97128467,7,3,4,2
natty,1433.89312725,189.825967625,4,2,2,1
macintosh,1433.28848555,177.829721898,5,2,3,1
kriskringle,1432.13062953,188.709212916,4,2,2,1
boogie!,1430.87783557,154.038554585,8,3,5,1
little bill,1429.52702546,206.487398893,3,1,2,1
gamer4life,1429.40085761,188.297310293,4,2,2,1
yolochi,1428.62849169,216.01030518,3,1,2,1
pintoa,1428.18246869,144.127555332,8,3,5,1
white,1427.89008271,194.291971789,5,2,3,1
thenuge,1426.6577208,146.346133407,8,3,5,1
daddy's milk,1425.96640822,155.092309,9,4,5,2
jam,1424.10390955,178.120573208,5,2,3,1
vidya_james,1423.64410837,215.772766484,3,1,2,1
cormander,1423.32853064,126.37951241,11,4,7,2
zenaga,1421.10805245,216.761536882,3,1,2,1
maniac379,1420.58882118,103.175990214,18,7,11,3
hungrybox,1420.49719453,193.281844575,6,2,4,3
nigel_thornberry,1420.31341284,213.756284627,3,1,2,1
tubby!,1419.62917476,229.045802507,3,1,2,1
jollie,1419.2115243,124.078524575,12,5,7,2
bacorn,1419.07906858,98.4962092234,23,10,13,6
maliki,1418.81636273,169.692416018,7,3,4,2
cbones,1418.61184812,215.571650919,3,1,2,1
waldo,1418.58320204,164.409485215,5,2,3,1
soulbroker,1418.17198117,206.825539816,3,1,2,1
sombrero,1418.10705796,198.714918583,3,1,2,1
lucky_hamburger,1417.58120018,211.663027857,3,1,2,1
apparition the ambassador,1417.19669876,103.889961767,21,8,13,4
brotherly,1417.12425796,206.888341714,3,1,2,1
shyguyking,1415.61285593,159.634805335,8,3,5,1
cane ut,1415.25489803,226.714083091,3,1,2,1
k,1414.20840953,198.473890061,3,1,2,1
ondas,1413.98257735,145.372989973,8,3,5,1
-philip coast philip-,1413.15627664,212.432820875,3,1,2,1
stew,1413.10032299,134.421133872,9,4,5,1
maaron,1412.16026165,214.814196087,3,1,2,1
ardent rage,1412.14026598,215.561528818,3,1,2,1
zibba,1412.14026598,215.120367949,3,1,2,1
swankeaboo,1408.97170446,213.409631096,3,1,2,1
paco [larkin],1407.57233867,213.461613899,3,1,2,1
robnu,1406.80855726,161.701681537,6,2,4,1
monkey,1406.55741307,202.789662438,3,1,2,1
elitescoringguy,1406.33314169,150.770492313,8,3,5,1
bottle opener guy,1406.17115671,155.50357055,8,4,4,2
littlespoon,1405.50177134,216.155757186,3,1,2,1
jmabate,1405.50177134,216.814001773,3,1,2,1
gera,1405.20288962,205.878712306,3,1,2,1
hiv+,1404.53355079,210.241885232,3,1,2,1
maps,1403.92929778,123.147980939,12,4,8,2
ir,1402.31092179,211.255286088,3,1,2,1
sd master,1401.72895679,210.18621551,3,1,2,1
moze,1401.31155614,194.766266349,3,1,2,1
mulkster,1401.03336195,220.457627025,3,1,2,1
mr_sharpie93,1401.03336195,220.026283234,3,1,2,1
big d [hamiel],1400.87815102,211.17116061,3,1,2,1
precookedbread,1400.65260968,214.828271869,3,1,2,1
evals,1400.65260968,214.651313516,3,1,2,1
hsf,1400.65260968,214.385602115,3,1,2,1
cooljoe,1400.65260968,214.385602115,3,1,2,1
xiivi,1400.17381886,143.505115873,12,5,7,4
fawnco,1400.16218631,228.733389073,3,1,2,1
capsui,1400.16218631,228.109542274,3,1,2,1
