player,rating,rd,sets,wins,losses,num_tourneys
amida,1749.23408846,78.9007894316,34,23,11,5
equal,1749.07308591,101.516362823,24,17,7,3
banana,1748.86179105,127.421171847,14,10,4,2
nintendork,1748.85552095,212.725284023,12,8,4,2
deathgazer,1748.78355515,92.1372383168,40,28,12,4
kjh,1748.71202114,66.1100985304,77,54,23,9
redd,1748.68752226,101.32294907,20,14,6,3
g$,1748.25330153,102.708856858,23,17,6,2
lanceinthepants,1748.10563683,79.5388956931,39,28,11,5
darktooth,1747.64465438,178.596098613,6,4,2,1
markow,1747.63306374,137.273087485,11,9,2,1
kdj,1747.51611251,144.549341618,9,6,3,1
jflex,1746.77022566,94.401890076,32,22,10,4
thugz,1746.60784254,160.043456442,7,5,2,1
flood,1746.43339857,168.50489264,7,5,2,2
lint,1746.10143161,85.7254151861,31,22,9,4
envy,1745.27420909,111.544162304,21,15,6,3
bobby frizz,1744.9737804,112.750794853,17,11,6,2
moogle,1744.17996998,156.678507661,7,5,2,1
monib,1743.48229538,124.461848658,26,19,7,3
chip,1743.12127359,125.76462496,13,9,4,2
nakamaru,1743.0671526,147.093654299,7,5,2,1
ronzell,1742.87123506,152.46137718,9,7,2,1
slipnslide,1742.78138438,156.132992856,7,5,2,1
shminkledorf,1742.69522715,165.192935542,7,5,2,1
triple r,1742.12909038,94.6628308541,27,20,7,3
avalancer,1741.91217483,162.909891986,8,5,3,1
ycz6,1741.44691096,126.273558423,13,9,4,2
ryobeat,1740.1693664,135.422776393,9,6,3,1
spor,1739.7352618,115.927256189,19,14,5,2
makari,1739.37685862,168.9564349,6,4,2,1
hat,1739.3094176,93.8410054017,24,17,7,3
crush,1739.27383114,83.0027799828,42,27,15,7
orly,1739.26742552,109.524041311,18,13,5,2
mistrrlove,1738.91610143,164.98865129,19,15,4,2
silent wolf,1738.15628189,73.1686829076,43,24,19,6
advanced,1737.33132619,122.598040733,15,11,4,2
swiftbass,1736.93967427,91.4471336875,35,23,12,5
davrob01,1736.91557353,141.080996954,11,8,3,1
milkman,1736.01290107,103.1835801,23,17,6,3
plank,1736.01071679,116.983346922,13,9,4,2
iv,1735.97379528,269.74615452,1,1,0,1
dudutsai,1734.23244825,96.2732814696,25,18,7,3
scythe,1734.1018815,105.296598203,18,14,4,2
mike haze,1733.88318054,123.445333111,13,8,5,2
koopatroopa895,1733.5478005,117.051077766,15,10,5,2
wakenvape,1733.21182422,127.17195222,16,12,4,3
space ghost,1733.09492556,141.260207787,9,7,2,1
lawn chair,1732.41254382,153.436324201,8,6,2,1
thegooddoctor,1732.35021534,137.21603631,11,9,2,1
luigo,1731.7962938,156.558363055,19,14,5,2
naminami,1731.7962938,156.558363055,9,7,2,1
manio,1731.7962938,156.558363055,9,7,2,1
trichael man,1731.7962938,156.679676546,9,7,2,1
rold gold,1730.50836103,159.563666842,8,6,2,1
ashtrei,1730.00223007,146.198027403,10,8,2,1
uwan,1729.84280276,154.278957437,7,5,2,1
i4n,1729.79370443,96.9727255907,25,18,7,3
r23,1729.55365922,120.705477669,25,19,6,3
askeflink,1729.35588561,91.5588669954,31,23,8,3
moy,1729.27513053,171.526741313,8,6,2,2
kwyet,1729.18710924,150.168659618,8,6,2,1
stacy's stepdad,1728.90653039,146.554617703,9,7,2,1
ihavespaceballs,1728.86341073,154.640152186,7,5,2,1
zanguzen,1728.82676979,104.202597972,19,13,6,3
liberate,1728.80577674,85.7564387138,28,19,9,4
umbra,1728.31651766,144.649709497,8,6,2,1
dizzy,1727.52216897,158.796572539,9,6,3,1
jman3,1727.50770265,133.74997834,12,9,3,1
juggleguy,1727.27517969,85.4351813714,38,26,12,5
ajp_anton,1726.23905218,109.799674192,19,13,6,2
sodrek,1726.20307766,182.393641454,6,5,1,1
murdock,1726.07587209,159.509733268,7,5,2,1
john ward,1725.66425741,157.71228382,8,6,2,1
beach,1725.61666829,93.7516950726,24,16,8,4
phade,1725.51165392,113.85915306,27,19,8,3
eekim,1725.34901714,110.645780068,18,12,6,2
kraines,1724.79755429,175.14934014,14,9,5,2
prz,1724.41069258,106.59253905,19,14,5,2
akke,1724.26199127,173.597761581,7,4,3,1
alpha dash,1724.08605373,125.44334115,25,19,6,3
peanutphobia,1723.98262636,100.207068354,20,14,6,3
toastyb,1723.43469842,107.204557332,15,10,5,2
aisengobay,1723.27629651,173.845040771,9,5,4,2
uncle mojo,1722.96185654,150.74397048,9,5,4,2
mew,1722.60271105,90.9903541049,30,21,9,4
paper,1722.43537583,122.197412169,13,9,4,2
violence,1721.80496941,114.198563714,19,13,6,3
idcrisis,1721.63950031,173.898743102,5,3,2,1
suess,1721.60429252,121.930371104,13,9,4,2
irregularjinny,1721.53771552,122.124427724,15,11,4,2
aether,1721.30299285,151.805676389,12,8,4,2
damian tyson,1720.96399459,123.549027984,24,18,6,3
ftgg,1720.67720285,144.145302561,8,6,2,1
bigfoig,1720.30076062,124.99060175,11,8,3,1
nils,1720.14031212,88.9602700593,39,27,12,4
captain smuckers,1719.86678452,83.6718725481,38,25,13,5
metroid,1719.82408703,146.241183814,8,5,3,1
tafokints,1719.65949149,80.9707352174,40,25,15,6
pure,1719.55288258,136.840032322,18,11,7,3
aglet,1719.46227084,121.304344019,14,10,4,2
alp,1719.31746857,115.814443228,13,9,4,2
joeycrzl,1719.25861795,164.402368702,9,5,4,2
dope,1718.90526614,108.892087096,28,15,13,3
vro,1718.22449888,83.5154959482,37,24,13,6
sharp,1718.19359355,154.243073802,8,6,2,1
hello,1717.79331022,114.843170942,17,13,4,2
king funk,1717.784176,112.447400966,28,21,7,3
skipper,1717.72762326,151.735814702,9,7,2,1
hindawg,1717.56243725,178.118000353,6,4,2,1
pit,1717.34353093,148.813904945,8,6,2,1
zeo,1717.26106779,98.9883816288,20,13,7,3
coen,1716.75775881,177.438120457,17,11,6,2
emt_sol,1716.58851173,122.81760243,21,14,7,3
shanks,1716.45326003,125.270711508,15,10,5,2
white guilt,1716.32975186,194.731533917,5,4,1,1
tm,1715.91231568,102.768027789,27,19,8,4
cascade,1715.73995418,181.433623584,6,4,2,1
nes,1714.6642379,153.287796752,7,5,2,1
ksc,1714.32356552,133.039390514,11,8,3,1
zhu,1714.01840748,82.5135997012,54,38,16,6
minty,1713.87433883,102.386854564,21,15,6,3
goomy,1713.67414482,123.586847069,12,8,4,2
bebop!,1713.58139577,159.273658234,7,5,2,1
homemadewaffles,1713.39003138,78.8308459193,40,26,14,6
schythed,1713.1544982,87.5182988466,32,22,10,4
krizski,1712.76646414,130.051239511,11,7,4,2
hamyojo,1712.71077087,91.9224260403,27,19,8,4
atomsk,1712.59898519,104.850336196,20,13,7,3
coffeeblack,1712.50560116,106.966701953,33,25,8,4
dr. greenthumb,1712.4879862,113.550970207,16,11,5,2
km,1712.37188306,137.81715887,9,7,2,1
dezno,1712.33781483,86.0030337399,32,22,10,4
cmg,1712.13813512,159.765480575,7,5,2,2
hylian,1712.11180857,130.915035751,11,8,3,1
ju4n,1712.03949402,156.598675796,6,4,2,1
frenzy,1711.89148838,85.0687774745,46,33,13,5
vish,1711.83795195,89.7720681274,28,19,9,4
dairdev1l,1711.7115201,76.7821897244,47,32,15,7
ciz,1711.5770451,94.3902466627,26,18,8,4
paz,1711.01169397,165.469103727,6,4,2,1
chum,1710.78569723,123.784284185,12,8,4,2
jawanga,1710.48980807,102.185875757,23,16,7,3
lonebutterfish,1710.13819955,116.260395423,24,16,8,3
yoyo,1710.01878113,114.33528491,15,9,6,3
gar,1709.80551467,103.153816673,20,14,6,3
der_hund,1709.78838466,167.526760831,7,5,2,1
electric flux,1709.74865251,162.961244782,7,5,2,1
beerman,1709.73754932,163.022295288,6,4,2,1
flamin roy,1709.38612549,127.31284087,14,10,4,2
lock,1709.082262,124.079531792,15,11,4,2
onion,1709.00986038,131.297543126,14,10,4,2
rayzorium,1708.95222416,159.985663599,8,6,2,1
webwipe,1708.70031849,128.062642315,15,10,5,2
friendly neighborgood puff,1708.182071,131.806435461,10,6,4,1
nino,1707.86618997,146.218118123,8,6,2,1
sypherphoenix,1707.69767902,121.926048778,12,8,4,2
ambiguously polish,1707.39468573,152.724225639,7,5,2,1
frootloop,1707.38589286,112.608054573,24,16,8,4
aellgi,1706.96840835,142.662985872,11,8,3,1
eliott,1706.63706227,100.59012794,22,15,7,3
captain crunch,1706.33746121,91.1815579411,36,24,12,5
kyuu,1705.93544609,267.918403065,1,1,0,1
fork,1705.72266323,175.320017908,17,13,4,2
abate,1704.57396661,90.7533456902,27,19,8,3
rustin,1704.52422489,87.7732999895,28,19,9,4
vinodh,1704.48401029,103.910712936,22,14,8,3
random-ness,1704.48252357,113.836288744,29,22,7,3
gravy,1704.40634648,129.649416643,23,15,8,3
length plank,1704.3004326,168.564738441,8,5,3,1
fendricklamar,1704.06360304,78.8500527184,37,24,13,6
vino,1703.77392276,99.2887912776,26,18,8,4
dalung,1703.72661477,179.662228002,17,11,6,2
killahertz,1703.61490155,164.961753203,8,6,2,2
chroma,1703.61490155,164.03773962,8,6,2,1
quail,1703.61490155,164.03773962,8,6,2,1
nimzo,1703.61490155,164.03773962,8,6,2,1
icer,1703.61490155,164.03773962,8,6,2,1
flop,1703.61490155,163.108491562,8,6,2,1
okamibw,1703.61490155,164.03773962,8,6,2,1
zbert,1703.61490155,164.03773962,8,6,2,1
a rookie,1703.61490155,164.03773962,17,12,5,2
tags,1703.61490155,164.03773962,8,6,2,1
dendypretendy,1703.61490155,164.03773962,8,6,2,1
soccermom69,1703.61490155,164.03773962,8,6,2,1
arcane,1703.61490155,164.03773962,8,6,2,1
kei,1703.61490155,164.03773962,8,6,2,1
neeco,1703.61490155,164.03773962,8,6,2,1
green ranger,1703.34518674,149.12582798,8,6,2,1
bolt,1702.70147349,119.483008246,15,11,4,2
darrell,1702.57766802,128.997694177,12,7,5,3
tang,1701.18622376,138.11025105,11,7,4,2
mattdotzeb,1701.08118892,86.1307084635,33,22,11,5
reno,1700.97951043,85.3993810775,39,25,14,6
darkcloud,1700.77310347,162.145212622,7,5,2,1
ny joey,1700.71694925,91.8056393418,30,20,10,4
r2dliu,1700.28823529,88.8939851929,29,19,10,4
johnkorv,1700.26902516,151.500510846,9,7,2,1
sharkz,1699.74193893,101.297894169,21,14,7,4
bëst,1699.71921054,141.916466977,10,7,3,1
hurlevent,1698.84300794,159.39301896,7,5,2,1
specialk,1698.73938812,175.477093582,6,4,2,1
fauxhebro,1698.65826812,156.437901458,8,5,3,1
nerin,1698.65107121,100.661017662,20,14,6,3
jacky,1698.61311604,103.695511704,21,14,7,2
irotikuz,1698.25072292,145.556620785,9,6,3,1
dero,1698.16241988,165.552449156,16,11,5,2
ap renekton,1698.1578037,204.954767671,4,3,1,1
piranha,1697.1688209,167.051416151,7,5,2,1
phrase,1696.92571178,157.100424944,7,5,2,1
rockleeland,1696.67897961,144.573041605,11,8,3,1
voff3,1696.64976052,152.271861196,9,6,3,1
son2,1696.55032742,115.583753463,15,10,5,2
bones,1696.52119045,94.628547253,21,14,7,3
kevinm,1696.46614467,181.504292523,6,4,2,1
root3,1696.4587131,122.194091026,13,9,4,2
ozai,1696.08961893,116.590297256,15,10,5,2
jam,1695.6905852,116.090579259,36,25,11,5
kevorkian,1695.67718044,88.1169577924,29,20,9,4
doubleshine,1695.38181143,145.938495247,10,7,3,1
arty,1695.35349786,149.889025898,8,5,3,1
rog,1695.17439843,169.365245042,13,9,4,2
starlord,1694.58802478,143.937918623,17,11,6,3
smashbob squarepants,1694.53108751,180.153094837,12,8,4,2
apeduden,1694.42932971,159.238770089,7,5,2,1
javi,1694.38668401,109.896941339,19,12,7,3
tapion,1694.26993413,160.106717212,7,5,2,1
skyreon,1694.21454484,166.729928471,7,5,2,1
kim yung un,1694.01719538,101.586422934,21,14,7,3
justjoe,1693.87776662,140.073942361,11,8,3,1
phake,1693.82633477,172.244030913,15,11,4,2
husband,1693.57612324,150.148635041,9,6,3,1
doll,1693.503482,120.468049321,14,10,4,2
hellsingulh,1693.47588919,116.504094516,14,10,4,2
hot,1693.23190568,160.637964294,6,4,2,1
jonjon,1692.94802323,128.345382282,13,9,4,2
sweet,1692.67213786,117.301199912,15,10,5,2
heartstrings,1692.12411309,83.3503762787,45,29,16,6
rogee,1691.95842998,148.49837448,7,5,2,1
mb-smash,1691.27015356,159.287081928,6,4,2,1
drewgong,1690.95010138,97.474737492,26,18,8,3
viktoralsos,1690.93389761,159.054656088,7,5,2,1
alex19,1690.80614406,110.851816181,26,18,8,4
cantus,1690.3738323,128.724964069,14,9,5,2
j666,1690.27374381,123.765215287,13,9,4,2
waterlessfishie,1690.20381052,122.207357895,15,9,6,2
hungry pigeon,1690.19035868,120.504248199,20,13,7,3
the brig,1690.0394516,145.044819277,10,6,4,2
mr_sweet,1689.95155706,205.513089103,11,7,4,2
off3nse,1689.69264381,152.165716989,8,5,3,1
jager,1689.51585237,157.753821392,7,5,2,1
bananas,1689.50540473,95.0576206798,24,16,8,3
denec,1689.06253411,113.727453293,16,11,5,2
nigel,1688.73048364,152.880558162,7,4,3,1
setchi,1688.38589744,153.276070464,17,11,6,2
chi,1687.97095962,127.378284742,14,9,5,2
rula,1687.9596842,125.074114857,19,13,6,3
boss,1687.90669722,117.916761557,16,11,5,3
spaceanimalz.com,1687.57994534,177.717192813,6,4,2,1
wts,1687.2019315,129.642449595,10,7,3,1
jrad,1687.19037247,108.316113485,25,17,8,3
arc,1687.10010142,119.590911615,17,12,5,2
willz,1686.81583201,107.21043086,29,19,10,3
shaeden,1686.72377153,161.727383498,6,4,2,1
geof t. samus,1686.47663332,162.075238656,7,5,2,1
spiff,1686.47365302,162.755648341,6,4,2,1
kohai,1686.02279578,136.980141838,11,7,4,2
blueg,1685.69050341,134.359440643,12,8,4,1
iateyourpie,1685.49354574,162.442009053,6,4,2,1
c#,1685.32428907,123.046009446,13,9,4,2
deepz,1685.21365121,133.236727761,10,6,4,1
widl,1685.12383533,101.722736691,19,12,7,3
pikapika!,1685.11344841,125.96433054,13,9,4,2
volvo,1684.97554621,169.922331945,7,5,2,1
unit,1684.65895855,181.631635118,5,3,2,1
ebay,1684.49385126,125.982548686,14,9,5,2
colonel dog,1684.13892456,173.956170918,6,4,2,1
shabo,1684.05725763,103.882376989,21,14,7,3
moky,1683.84904311,153.657757232,19,15,4,2
a link named slykbacc,1683.5355727,154.893720106,6,4,2,1
poonslayer7,1683.02466226,127.302820071,10,7,3,1
zilyn,1682.95776822,149.924763271,9,6,3,1
primer,1682.76901182,159.12081979,7,5,2,1
maskless,1682.53100086,115.582649058,26,17,9,3
dog wearing sunglasses,1682.35906401,149.163596161,8,5,3,1
dunk,1682.34355247,86.2434214141,40,27,13,7
toptierdad,1682.17080843,131.214927034,14,10,4,2
uuaa,1682.15418059,105.782717931,24,16,8,4
dai,1681.7002177,164.969597035,7,5,2,1
42nd,1681.62541721,115.831980241,21,14,7,3
yedi,1681.2077414,118.926308745,14,9,5,2
travist,1680.96307274,118.558184856,17,12,5,2
kei$,1680.34833749,201.602259123,5,3,2,1
tran,1680.10130375,124.797960483,11,7,4,2
noah,1680.03379623,141.465104342,12,8,4,2
torsional strain,1680.01350044,145.343752152,8,5,3,1
doh,1679.7040661,129.53296253,11,7,4,2
r0cket_wizard,1679.38621351,151.84910571,8,5,3,1
doodler,1679.29567828,114.309409745,16,11,5,2
grab2win,1679.15998601,144.128467065,10,7,3,1
nikabod,1678.29332488,121.994765309,13,9,4,2
kira,1678.04472828,82.0899899108,36,22,14,4
mwl,1678.01664204,153.957209612,9,6,3,1
shrug,1677.74304272,133.36557109,10,6,4,1
indie,1677.6740978,166.358352835,7,5,2,1
shot,1677.63747289,167.257006172,7,5,2,1
nekonyancer,1677.58161143,143.954650354,10,7,3,1
47,1677.51396054,111.940674518,16,11,5,2
mask,1677.29737299,124.219430609,14,9,5,2
vortex,1677.28230528,87.4000713892,39,26,13,5
phex,1676.93041127,103.439796885,34,25,9,4
psi,1676.90920255,142.238398085,9,6,3,1
parzival,1676.55553939,110.019849488,19,12,7,3
yardsale,1676.27855983,100.029499591,34,24,10,5
gato,1676.0862565,91.1281713751,27,17,10,4
quaff,1676.03176971,121.173546828,13,9,4,2
hentai legend,1675.84597453,130.914788304,11,8,3,1
fueg0,1675.28832476,141.535771071,10,6,4,2
zarinax,1675.26376206,167.065112824,6,4,2,1
windrose,1675.17701379,167.2153828,18,14,4,2
drunksloth,1675.17694902,131.434944936,19,13,6,3
callmeaustino,1674.99175466,141.410344902,9,6,3,1
citrus,1674.96491969,128.387655782,12,8,4,2
nevake,1674.7025819,135.015884944,12,8,4,1
nexic,1674.46784328,112.955521399,17,11,6,2
