player,rating,rd,sets,wins,losses,tournaments
kort,1721.41143387,111.967733256,17,11,6,2
nothing,1718.22928798,103.077855026,21,15,6,3
kimimaru,1716.06998225,106.520552526,18,13,5,2
finio,1714.07825898,158.273879796,7,5,2,1
near,1713.27899389,129.166808129,10,7,3,1
letsgo,1711.3912638,180.379021997,6,3,3,1
nacl,1707.69703492,105.474094951,18,12,6,3
nintendude,1707.27337747,80.5689712605,36,23,13,5
sheermadness,1704.78928313,153.645258965,7,5,2,1
facechew,1699.3193371,163.929403172,7,5,2,1
banze,1697.89151596,113.15642126,16,11,5,2
robert,1697.12710136,96.6965302512,22,15,7,3
fumbles,1688.87786288,141.825385361,8,5,3,1
battlecow,1688.34929138,135.499699665,8,5,3,1
kyle tree,1687.85517735,117.690581812,14,9,5,2
wookiee,1686.54596486,89.3083639857,27,18,9,4
a$,1685.29805196,167.219016955,6,4,2,1
hipstur,1684.92794196,81.7154473565,35,24,11,5
spongy,1684.54364945,118.115735597,13,9,4,1
box765,1682.99968956,138.921387611,9,6,3,1
jason,1682.68875878,89.4361504456,28,19,9,4
shalaka,1681.8815607,115.82594784,16,10,6,2
stonefallow,1677.53952723,139.660328008,11,7,4,2
zero,1676.35627026,114.757434461,17,11,6,2
amida,1674.83591963,102.819442569,20,13,7,3
poobearninja,1670.23087474,132.163000167,13,9,4,2
jay-r,1669.30795467,172.572251236,7,5,2,1
smash jesus,1669.01399084,125.340779787,14,10,4,2
fishaman p,1660.75502221,109.941196692,15,9,6,2
connor,1660.40615537,102.515812837,19,12,7,3
jay_mute$,1659.0434213,113.342730528,14,9,5,2
ybombb,1654.44040011,127.368864291,14,9,5,2
loto,1654.19157934,169.453973272,6,4,2,1
pugs,1654.1441192,111.200587564,13,8,5,2
yobolight,1651.16475144,107.263785239,19,12,7,3
josephzander,1650.69296328,130.056806978,9,6,3,1
gildo,1650.40223026,108.469652407,18,12,6,2
lord narwhal,1647.08396104,96.1341422094,23,14,9,3
dajjal,1646.20278202,93.5648179429,24,15,9,3
the american patriot,1645.56483791,179.09196903,6,4,2,1
nattybroh,1644.0840776,118.863965034,13,9,4,1
kaz,1642.39758037,118.164724773,13,8,5,2
v,1640.86359075,160.887844269,6,4,2,1
mrmarbles,1640.00900531,126.303049729,14,9,5,2
eg,1639.78801082,102.113864389,17,11,6,2
tr3g the z,1639.07777628,156.679676546,9,6,3,1
kraines,1638.60700335,198.796968875,4,3,1,1
xyk,1638.41460518,177.037819085,6,4,2,1
tonester,1638.34103565,145.560558022,11,7,4,2
the big d,1638.31033548,177.412261629,6,4,2,1
hotline,1637.34166912,168.340791417,6,4,2,1
b33f,1637.07034287,106.046184108,17,11,6,2
piratetrips,1634.57348785,114.087964199,12,8,4,1
esid,1634.02689261,150.74838913,9,6,3,1
mr.sir,1629.64169267,75.568309068,48,28,20,8
shihman,1628.21253245,93.3720691027,28,18,10,4
onski,1627.58079439,95.0482717506,25,15,10,4
sextc,1627.57075506,152.351119842,8,5,3,1
llcstoism,1627.40813853,111.84085233,15,9,6,2
jimmy joe,1627.12755517,83.2649829029,31,18,13,5
mokkori,1626.6347393,182.632308241,6,4,2,1
bard,1625.89401472,92.204316699,25,16,9,5
sunnyb,1624.81793961,142.382897374,8,5,3,1
dogs_johnson,1623.80856646,105.332112509,18,11,7,3
socrates,1622.5832294,181.776416093,5,3,2,1
madrush21,1621.70486047,73.2994631424,43,24,19,7
d35,1620.95328295,88.3315839939,28,17,11,4
b0n,1620.14786597,170.551328145,6,4,2,1
rossi,1617.706257,175.907808936,5,3,2,1
clubbadubba,1617.66899376,114.878317846,15,9,6,2
freean,1614.79910606,113.22202365,19,12,7,3
b link,1614.27935923,150.565355727,7,4,3,1
a to the z,1613.86629758,96.5153646,21,11,10,3
darkhorse,1613.63518965,85.1437342613,30,18,12,5
bowl,1613.57079455,128.39293457,13,8,5,2
kyle,1613.16758913,181.601403272,5,3,2,1
snorlax,1612.09331573,106.461016573,20,12,8,3
preston,1611.69156066,97.370246313,23,14,9,4
greeno,1610.49732898,103.512172063,21,13,8,3
saltsizzle,1610.08096589,97.7565523624,18,10,8,3
quickcav,1609.31420204,145.115371886,9,6,3,1
1000,1609.18692098,189.221952712,5,3,2,1
jxc,1608.60034052,169.691405051,6,4,2,1
komotonoto,1608.06401923,137.971997874,9,5,4,1
ivor,1608.04620324,178.755956101,5,3,2,1
monte,1607.36910986,147.823205735,7,4,3,1
monte,1607.36910986,147.823205735,7,4,3,1
natendo,1605.96564751,170.389927779,6,4,2,1
sedda,1604.70331931,133.470812916,18,11,7,3
dogg,1603.78637659,110.272653163,14,8,6,2
heny935,1602.62870545,164.965832939,6,4,2,1
masterhandjob,1602.57161077,94.3919127054,26,15,11,4
duffman,1602.09904053,174.368180612,5,3,2,1
freddy cougar,1601.06859103,190.88727716,5,3,2,1
the dark gentleman,1600.60106475,158.550027958,7,4,3,1
supa,1599.53568175,113.145644859,15,8,7,3
umbra,1596.50943528,142.167931845,10,6,4,2
ctg,1595.89321262,105.904946786,25,14,11,5
broly,1594.47703867,189.446959174,5,3,2,1
bamster,1593.92035383,178.470482578,5,3,2,1
sax,1592.72929707,144.181788786,8,5,3,1
tafokints,1591.8996249,216.923455552,3,2,1,1
a la carte,1591.61052686,151.536633362,9,5,4,2
cyoonit,1591.38535166,147.661669726,7,4,3,1
mustard tiger,1591.11528864,143.777739974,10,6,4,2
kirbstomper,1590.7482268,142.142221254,9,5,4,2
dpb,1589.76072277,189.341002845,5,3,2,1
satan [turner],1588.9363881,157.007331524,7,4,3,1
chuck lubs,1588.83820748,188.109119643,5,3,2,1
studstill,1588.60372759,142.740548609,11,7,4,2
limesoda,1586.11221912,108.652234304,16,9,7,3
shanks,1585.99709117,133.676173841,12,7,5,2
gravyfingers,1583.62932869,149.028142044,7,4,3,1
smurf,1583.24594039,91.1566174455,29,17,12,5
tyhiggz,1582.42393197,102.092543918,17,9,8,3
elated,1582.41917145,138.549604156,10,6,4,1
fudgeball,1581.60990377,159.707392642,5,3,2,1
mr. slimey,1579.71627605,198.122995617,4,2,2,1
iheartqueso,1579.69846905,151.480754552,9,5,4,2
knitephox,1578.72752039,118.523241051,17,10,7,3
moogle,1578.69539633,187.339206223,5,3,2,1
zuko,1576.63916734,103.003439598,23,12,11,4
b.i.,1575.89269955,134.778325452,11,7,4,1
elel,1574.77251965,147.729597476,10,6,4,2
skyfire,1574.38440114,185.461136741,5,3,2,1
zyrg,1574.19886086,142.76010842,10,6,4,1
no~m,1574.01605654,187.67573768,5,3,2,1
p21/c,1573.75718595,124.005115247,15,9,6,2
shyboy,1572.10991729,194.731533917,5,3,2,1
sebula4,1572.10991729,193.998377059,5,3,2,1
sheick,1572.10991729,194.731533917,5,3,2,1
blaise,1572.10991729,194.731533917,5,3,2,1
kingkool,1572.10991729,194.731533917,5,3,2,1
vudujin,1572.10991729,194.731533917,5,3,2,1
dragoniota,1572.10991729,194.975306902,5,3,2,2
nattyb,1572.10991729,194.731533917,5,3,2,1
ern,1572.10991729,194.731533917,5,3,2,1
tvdonk,1572.10991729,194.731533917,5,3,2,1
t0mmii,1572.10991729,194.731533917,5,3,2,1
toro,1572.10991729,194.243070151,5,3,2,1
autobaun,1572.10991729,194.731533917,5,3,2,1
batterybird,1572.10991729,194.731533917,5,3,2,1
toronto joe,1572.10991729,194.731533917,5,3,2,1
zergos,1572.10991729,194.291971789,5,3,2,1
xor,1572.10991729,194.731533917,5,3,2,1
king lumsy,1572.10991729,194.487455384,5,3,2,1
eggmode,1572.10161898,103.651925902,19,11,8,3
subtle,1569.86549525,150.719916012,10,5,5,2
gt,1568.91193785,77.7278923057,32,18,14,5
travkid,1568.09938962,222.166837472,2,1,1,1
killahertz,1567.84722867,128.482657256,13,7,6,3
dubs,1567.77616588,138.301202694,12,7,5,2
g0d,1567.77369899,191.242573026,4,2,2,1
daniel,1567.54093582,111.927040578,19,11,8,3
pathall,1567.28804249,196.014668548,4,2,2,1
touque,1567.28052473,178.177103376,5,3,2,1
rgood,1567.1892753,186.638960362,5,3,2,1
coin chaser,1566.80634848,186.350242136,5,3,2,1
dizzle,1566.5111977,145.675451584,14,7,7,3
handles,1563.65417523,115.329170007,15,9,6,2
dr. lampy,1563.41505141,187.265133794,5,3,2,1
nesskhalifa,1563.02871947,154.901183174,9,5,4,2
bread,1561.73469528,119.292074795,14,8,6,2
rusty,1561.6230298,104.949455639,17,9,8,3
fancy,1560.64369567,184.033511648,5,3,2,1
giraphe,1559.79773079,182.143871767,5,3,2,1
scoback,1559.26684588,127.823488056,12,6,6,2
gaijilla,1559.17637111,206.15376283,4,2,2,1
señorhen10r,1559.07142197,153.824061264,7,4,3,1
starchild,1559.01149625,119.120047337,15,9,6,2
tot,1558.4585112,130.321319326,13,7,6,2
wazzberry,1557.43947197,185.878530446,5,3,2,1
rith,1556.43598489,172.572251236,7,4,3,1
pete,1556.43598489,172.572251236,7,4,3,1
waxy:joe,1555.43078907,142.350577167,10,6,4,1
notlightningrunner,1554.97095163,185.815794454,5,3,2,1
the protagonist,1554.56029026,125.154586676,13,7,6,2
annex,1554.51850819,102.582185926,21,12,9,3
dfx,1554.3966835,110.013954308,27,15,12,5
thrillhouse,1554.26130821,132.852350528,9,5,4,1
stonehaus,1554.14116805,184.940058198,5,3,2,1
bon,1551.53558557,125.871682921,12,6,6,2
pewpewu,1548.88552512,145.872467905,9,5,4,2
sonicfuzz,1548.29490736,122.495663551,14,8,6,2
commander,1547.41094978,183.057697586,5,3,2,1
pluto,1547.32598435,195.36582008,4,2,2,1
zbl_mystic,1546.49215629,171.461932301,5,3,2,1
vanillarin,1546.27234155,157.432017817,9,5,4,2
purtle,1545.95118319,163.818296822,6,3,3,1
darkneon,1543.20778708,178.529930403,5,3,2,1
pochilin,1542.73675285,207.97236989,8,3,5,2
tbq,1541.98859366,150.02113251,9,5,4,1
yunque,1540.78355717,141.068630747,11,6,5,2
nasian,1539.43397167,184.027239607,4,2,2,1
dusttin,1536.61540376,123.192085924,14,7,7,3
captain l,1536.57855107,135.240439165,12,6,6,2
boomalready1,1536.54196561,143.331042019,9,5,4,1
korobeniki,1536.46211471,123.053076856,15,7,8,3
whitejesus,1535.68534812,118.317790728,14,6,8,2
t brett,1535.53162137,152.236445325,9,5,4,2
grahamaglam,1535.4131772,123.463326866,11,5,6,2
moonshoe,1534.09192738,142.086815707,9,5,4,2
professor_wizard,1534.08715093,106.431432133,16,9,7,2
cwic-beam,1533.46509823,158.743242271,8,4,4,2
fck vwls,1532.05485027,118.623270015,16,8,8,3
luka,1531.96766465,203.777271664,4,2,2,1
jamjar,1531.74461638,94.2021883595,30,16,14,6
sandman,1529.6048996,180.091185696,5,3,2,1
th3kuzinator,1527.82781667,128.051358169,12,6,6,2
blondekid,1527.4557374,165.055713863,6,3,3,2
vanddar,1527.06481915,198.350799936,4,2,2,1
horbie,1526.51314335,162.04358548,6,3,3,1
cmull,1525.74373495,140.254942315,8,4,4,1
justin,1525.61049628,175.559733095,5,3,2,1
shishkabobs5,1524.08105204,195.988774797,4,2,2,1
drewgong,1523.83429143,156.587114939,10,4,6,3
captain fabulous,1523.2902637,113.9242688,16,8,8,3
kabal,1523.25241065,152.039399645,7,4,3,1
bunz,1522.5506471,202.443836219,4,2,2,1
mr.watchandlearn,1522.24881677,202.032796488,4,2,2,1
hypa,1518.90134262,191.521388115,4,2,2,1
pizza,1518.58014684,107.515632036,20,10,10,5
daniels,1518.26885071,103.511323492,22,11,11,5
spaghetti,1516.4151316,181.754915309,5,2,3,1
cyan can,1513.30492218,200.669269037,4,2,2,1
kaladin,1511.42393302,193.388084977,4,2,2,1
synth,1511.15719932,174.850839892,4,2,2,1
kaddy,1511.07538074,239.35427267,2,1,1,1
shake,1510.85494991,199.463234004,4,2,2,1
stevie g$👌👌👌👌👌👌👌👌,1509.79552046,203.392576304,4,2,2,1
kd3,1507.78033368,200.754709426,4,2,2,1
barron,1504.20475258,203.67674306,4,2,2,1
rizner,1501.98914063,111.213660777,19,10,9,4
reptar,1501.74737372,155.381923599,8,4,4,2
savior,1501.40438739,200.291170176,4,2,2,1
duncs,1500.8241901,116.898966224,16,8,8,3
cuppajoe,1500.76115734,199.348330842,7,3,4,2
purple fox,1500.22842496,187.162256305,4,2,2,1
wincancel,1500.0,209.255166634,4,2,2,1
blueman,1500.0,209.255166634,4,2,2,1
hamburglar,1500.0,208.982594402,4,2,2,1
ravioli,1500.0,209.20976259,4,2,2,1
geekliftus,1500.0,209.663360564,4,2,2,1
snowstorm,1500.0,209.663360564,4,2,2,1
moist,1500.0,209.436684378,4,2,2,1
adrian,1500.0,209.255166634,4,2,2,1
mr. biz,1500.0,209.663360564,4,2,2,1
dwreck,1500.0,209.663360564,4,2,2,1
satch,1500.0,208.937131126,4,2,2,1
collin the conqueror,1500.0,209.663360564,4,2,2,1
the amazing busterino,1500.0,209.663360564,4,2,2,1
qtip,1500.0,253.907619787,2,1,1,1
qubit,1500.0,209.663360564,4,2,2,1
poptartplug,1500.0,208.982594402,4,2,2,1
dankestdad,1500.0,209.663360564,4,2,2,1
rawdog,1500.0,181.79812984,6,3,3,1
bottle opener guy,1500.0,209.663360564,4,2,2,1
beguiler,1500.0,209.118924928,4,2,2,1
leavescat,1500.0,163.108491562,8,4,4,1
klms,1500.0,209.663360564,4,2,2,1
weedwack,1500.0,209.663360564,4,2,2,1
h2o,1500.0,209.255166634,4,2,2,1
imdabes,1500.0,209.663360564,4,2,2,1
logic,1500.0,209.663360564,4,2,2,1
therapture_,1500.0,209.663360564,4,2,2,1
tetsu0,1500.0,209.663360564,4,2,2,1
salt,1500.0,209.255166634,4,2,2,1
swiftbass,1500.0,209.663360564,4,2,2,1
funkykong,1500.0,208.982594402,4,2,2,1
mrpoo,1500.0,209.20976259,4,2,2,1
tauvalian,1500.0,209.436684378,4,2,2,1
clefairy as mew,1500.0,208.982594402,4,2,2,1
jaquarium,1500.0,209.436684378,4,2,2,1
hoofydough,1500.0,209.663360564,4,2,2,1
nuro,1500.0,181.79812984,6,3,3,1
dezno,1500.0,253.832778391,2,1,1,1
han,1500.0,209.663360564,4,2,2,1
steamfriedasian,1500.0,209.663360564,4,2,2,1
kman,1500.0,209.118924928,4,2,2,1
morino,1500.0,182.632308241,6,3,3,1
nich,1500.0,208.982594402,4,2,2,1
karlthemarx,1500.0,209.436684378,4,2,2,1
rythemretrn,1500.0,209.255166634,4,2,2,1
quitrage,1500.0,209.663360564,4,2,2,1
pizzajokes,1500.0,209.663360564,4,2,2,1
jc_chill,1500,350,4,2,2,1
sph,1500,350,5,2,3,1
mr. wang,1500,350,6,4,2,1
zarc,1500,350,3,1,2,1
imperium,1500,350,1,0,1,1
driftintheabyss,1500,350,2,0,2,1
phut,1500,350,6,3,3,1
bubby,1500,350,3,1,2,1
bp,1500,350,6,3,3,1
whuck,1500,350,6,3,3,1
stephanie,1500,350,1,0,1,1
lecceo,1500,350,3,1,2,1
hbrw-hammer,1500,350,3,1,2,1
puddn,1500,350,2,0,2,1
dount,1500,350,6,3,3,1
superkirby,1500,350,3,1,2,1
truffleshuffle,1500,350,5,2,3,1
massimo,1500,350,4,1,3,1
peasantloaf,1500,350,5,3,2,1
elmustachio,1500,350,3,1,2,1
jdeezel,1500,350,2,0,2,1
costaricancool,1500,350,5,2,3,1
hotahota,1500,350,5,3,2,1
master j.j.,1500,350,2,0,2,1
mahie,1500,350,0,0,0,1
locamash,1500,350,2,0,2,1
gaymer,1500,350,2,0,2,1
pandemonium,1500,350,4,2,2,1
zane,1500,350,2,0,2,1
elvis,1500,350,6,4,2,1
7blanks,1500,350,6,3,3,1
zeppelin,1500,350,8,5,3,1
dimension,1500,350,3,1,2,1
ibc,1499.96787681,155.046307074,8,4,4,2
hariballz,1499.08576972,155.17416262,8,4,4,1
k-nut,1498.86896074,155.287566446,7,4,3,1
sunflower,1498.62230975,129.61373331,13,6,7,3
brny,1497.31353552,186.442368565,4,2,2,1
lookalike,1496.89817111,160.248349717,8,4,4,2
razz,1496.52103954,129.135692172,12,6,6,2
breakthrough,1496.11487725,199.998241092,4,2,2,1
spamus,1494.5502653,190.654150254,4,2,2,1
tootmoses,1494.44057704,192.388746989,4,2,2,1
deathcpo,1494.2693839,113.699570682,14,7,7,2
weirdy man,1491.39892079,200.026185626,4,2,2,1
bflakes,1490.82744599,183.976132374,4,2,2,1
neth,1490.42168474,198.578310065,4,2,2,1
prism,1490.40805513,246.650988012,3,1,2,1
jsmirk,1490.3984299,126.681253858,13,6,7,2
droc,1489.16263168,193.946849852,4,2,2,1
moosh_da_moosh,1488.31179879,195.742836765,4,2,2,1
bringdaruckus312,1487.86391711,191.068842887,4,2,2,1
bigbeaver,1487.2513869,88.2472194117,28,13,15,4
hhhhhhhhhhhhhhh,1487.21641669,197.694068074,4,2,2,1
lldl,1486.95102744,203.711213547,4,2,2,1
spunker,1485.84029211,208.253133048,3,1,2,1
hoofy,1485.55634104,159.12323025,8,4,4,2
bre,1485.5000704,185.411672963,4,2,2,1
jungle,1484.85521545,194.248997391,4,2,2,1
meerkat,1483.01187756,101.960849962,19,9,10,3
reese,1482.62276963,193.7098164,4,2,2,1
aces,1482.61038909,127.478708205,16,6,10,4
enneielle,1481.66779105,162.838230654,6,3,3,1
sun vulcan,1481.43944803,147.764210178,8,4,4,1
keagsbsmashin,1481.05883983,200.561061709,4,2,2,1
mixxedvegetables,1477.70043163,198.940758483,4,2,2,1
j9d2,1477.6825336,179.468934729,4,2,2,1
marlwolfe,1477.25311504,170.694222831,6,3,3,1
leaf fc,1476.74744026,163.344112178,7,3,4,2
village mascot,1475.99151432,110.281331172,17,8,9,3
frogman [charette],1474.32112758,237.570234401,3,1,2,1
ngwn,1471.97492943,234.584010624,3,1,2,1
fanboy,1470.67424017,233.738406517,3,1,2,1
bacorn,1470.47681825,101.46507796,22,10,12,6
kelvinheit,1469.8516005,146.269094983,16,9,7,2
aisengobay,1469.81832866,185.330007121,4,2,2,1
q!,1468.41895979,96.1064053189,24,11,13,5
jazzy jinx,1467.50984052,189.244664528,4,2,2,1
billbacon420,1465.03380992,230.960047541,3,1,2,1
cortese187,1464.75028036,199.150431212,4,2,2,1
blue bear,1464.72165935,208.777043037,4,2,2,1
hotsauce,1463.75385767,230.628687734,3,1,2,1
fingerblast,1463.52090056,178.378023766,6,3,3,1
derstuk,1463.27293444,155.054957208,10,4,6,3
miniohh!,1462.89072694,188.363154846,4,2,2,1
smashg0d,1462.66441736,222.993222954,3,1,2,1
wowzers,1461.93427962,200.235602328,4,2,2,1
mistertizye,1461.67383883,204.763099292,3,1,2,1
butcher of bakersfield,1460.51268304,146.435433235,9,4,5,1
capos,1460.38623302,104.876404573,16,8,8,3
dankey kang,1460.2508609,216.496679831,3,1,2,1
beans,1459.25714213,109.021676848,16,7,9,2
rebel scum,1458.71332218,133.737001863,9,4,5,1
sebastian,1458.15487762,227.725756314,3,1,2,1
stark,1458.0012749,188.447766856,4,2,2,1
goosewithsocks,1457.3281377,155.162942121,6,2,4,1
kevine,1456.51711405,226.123784479,3,1,2,1
probers,1456.07344234,193.335815794,4,2,2,1
nuggzy,1455.96356686,200.194329709,4,2,2,1
the (.)(.),1454.14323975,164.340077008,6,3,3,1
scratch,1453.66483413,130.174899816,19,8,11,3
kristoff,1453.10601792,122.014739925,14,6,8,3
nalgas,1452.77893905,163.830019431,6,3,3,1
prime,1452.21581662,120.407989782,19,7,12,4
bhol,1449.92513287,147.331340529,7,3,4,1
jinjo,1447.54287148,206.797291997,3,1,2,1
jlo,1446.52789991,166.799794127,6,3,3,1
slartibartfast42,1443.76588304,174.009692207,7,3,4,2
yass2queen,1443.71658896,220.681219258,3,1,2,1
masquerade,1443.70641538,221.286939103,3,1,2,1
lalo,1443.56401511,171.689201456,7,3,4,1
bodacious,1443.48097723,172.697139402,7,3,4,2
frostbyte,1442.5048209,162.070868041,7,3,4,2
qapples,1441.88430297,220.550884317,3,1,2,1
crazyk115,1441.6130996,182.506933041,5,2,3,1
cagt,1441.1172043,148.501081,9,4,5,2
z-rex,1441.07322392,222.201033886,3,1,2,1
thissidedown,1441.07322392,222.414701537,3,1,2,1
rocket,1440.3566686,138.604935116,7,3,4,1
v-bomber,1440.29099204,160.178951214,7,3,4,2
tank,1439.54401546,173.72563777,5,2,3,1
zhu,1439.25187479,206.113279653,3,1,2,1
mando,1437.71076062,138.556898263,10,4,6,2
ego,1436.18492272,218.578503916,3,1,2,1
izoo,1436.05159325,219.143634916,3,1,2,1
arctic,1435.49649116,218.617291277,3,1,2,1
pika,1435.30651143,221.050278443,5,1,4,2
midgetto,1434.60852101,162.97128467,7,3,4,2
chicken,1434.59163694,120.189403624,14,6,8,2
macintosh,1433.30510745,177.831871456,5,2,3,1
kriskringle,1432.19697964,188.716420691,4,2,2,1
boogie!,1430.72269817,153.964670995,8,3,5,1
little bill,1429.52702546,206.487398893,3,1,2,1
gamer4life,1429.40085761,188.297310293,4,2,2,1
yolochi,1428.62849169,216.01030518,3,1,2,1
pintoa,1428.22304884,144.130839046,8,3,5,1
white,1427.89008271,194.291971789,5,2,3,1
thenuge,1426.88434753,146.432252904,8,3,5,1
daddy's milk,1425.96640822,155.092309,9,4,5,2
jam,1424.10390955,178.120573208,5,2,3,1
vidya_james,1423.64410837,215.772766484,3,1,2,1
zenaga,1421.10805245,216.761536882,3,1,2,1
nigel_thornberry,1420.26004726,213.741419171,3,1,2,1
cormander,1418.94582103,127.279659003,11,4,7,2
maliki,1418.81636273,169.692416018,13,7,6,3
cbones,1418.61184812,215.571650919,3,1,2,1
waldo,1418.58502033,164.409599121,5,2,3,1
soulbroker,1418.17198117,206.825539816,3,1,2,1
sombrero,1418.11649692,198.719433108,3,1,2,1
maniac379,1417.82985341,103.638562686,18,7,11,3
apparition the ambassador,1417.6654104,103.974809002,21,8,13,4
lucky_hamburger,1417.58120018,211.663027857,3,1,2,1
brotherly,1417.12425796,206.888341714,3,1,2,1
shyguyking,1415.46203598,159.552449022,8,3,5,1
ondas,1415.17702064,145.724904944,8,3,5,1
-philip coast philip-,1413.16798621,212.435571979,3,1,2,1
paco,1412.90254396,123.838967256,12,5,7,2
maaron,1412.16026165,214.814196087,3,1,2,1
zibba,1412.14026598,215.120367949,3,1,2,1
ardent rage,1412.14026598,215.561528818,3,1,2,1
yrn,1411.37271622,211.68998441,3,1,2,1
swankeaboo,1408.97170446,213.409631096,3,1,2,1
paco [larkin],1407.57233867,213.461613899,3,1,2,1
stew,1407.14320753,135.406421871,9,4,5,1
robnu,1406.79828313,161.700204232,6,2,4,1
elitescoringguy,1406.33314169,150.770492313,8,3,5,1
jmabate,1405.50177134,216.814001773,3,1,2,1
littlespoon,1405.50177134,216.155757186,3,1,2,1
gera,1405.20288962,205.878712306,3,1,2,1
hiv+,1404.53355079,210.241885232,3,1,2,1
maps,1404.11854869,123.173255263,12,4,8,2
ir,1402.31092179,211.255286088,3,1,2,1
moze,1401.51531277,194.79094129,3,1,2,1
mulkster,1401.03336195,220.457627025,3,1,2,1
mr_sharpie93,1401.03336195,220.026283234,3,1,2,1
big d [hamiel],1400.87815102,211.17116061,3,1,2,1
evals,1400.65260968,214.651313516,3,1,2,1
precookedbread,1400.65260968,214.828271869,3,1,2,1
hsf,1400.65260968,214.385602115,3,1,2,1
cooljoe,1400.65260968,214.385602115,3,1,2,1
xiivi,1400.17381886,143.505115873,12,5,7,4
sadu,1400.16218631,228.109542274,3,1,2,1
shasta,1400.16218631,228.733389073,3,1,2,1
heartsdealer,1400.16218631,228.733389073,3,1,2,1
mourin,1400.16218631,228.359285506,3,1,2,1
eggmcmuffin888,1400.16218631,228.733389073,3,1,2,1
zwephy,1400.16218631,228.733389073,3,1,2,1
blahguy,1400.16218631,228.317680605,3,1,2,1
leet,1400.16218631,228.067891814,3,1,2,1
spt,1400.16218631,228.109542274,3,1,2,1
evab,1400.16218631,228.109542274,3,1,2,1
esuma,1400.16218631,228.733389073,3,1,2,1
k-man,1400.16218631,228.733389073,3,1,2,1
burnt out ninja,1400.16218631,228.733389073,3,1,2,1
chaos pro,1400.16218631,228.733389073,3,1,2,1
drlight,1400.16218631,228.733389073,3,1,2,1
hayrow,1400.16218631,228.109542274,3,1,2,1
kavon,1400.16218631,227.734413905,3,1,2,1
nyx,1400.16218631,228.317680605,3,1,2,1
flatline,1400.16218631,228.317680605,3,1,2,1
hungrybox,1400.16218631,229.355539015,3,1,2,2
pastor,1400.16218631,228.733389073,3,1,2,1
anathema,1400.16218631,228.733389073,3,1,2,1
schlag,1400.16218631,228.317680605,3,1,2,1
andy,1400.16218631,228.317680605,3,1,2,1
flare,1400.16218631,228.109542274,3,1,2,1
nathansandwich,1400.16218631,228.733389073,3,1,2,1
firefly,1400.16218631,228.733389073,3,1,2,1
dhir,1400.16218631,228.733389073,3,1,2,1
giraffe,1400.16218631,228.733389073,3,1,2,1
hotpocket,1400.16218631,228.109542274,3,1,2,1
napkins,1400.16218631,228.109542274,3,1,2,1
whoopiecow,1400.16218631,228.359285506,3,1,2,1
java boy,1400.16218631,227.734413905,3,1,2,1
birdlordmasterbeak,1400.16218631,228.109542274,3,1,2,1
castaway,1400.16218631,228.109542274,3,1,2,1
fawnco,1400.16218631,228.733389073,3,1,2,1
zombie!,1400.16218631,228.733389073,3,1,2,1
snazzy,1400.16218631,228.109542274,3,1,2,1
cardoso,1400.16218631,228.359285506,3,1,2,1
